question,options,answer,answer_idx,source
"John was playing football when he suffered a concussion.  He was really worried about the possible consequences of his sport, but the concussion was less scary than what?","['death', 'head injuries', 'having fun', 'being sick', 'getting hurt']",death,0,csqa
What will a friend do for you?,"['keep secret', 'coming home', 'rely on', 'count on', 'write letter']",keep secret,0,csqa
"I am sitting on a beach on this hot summer day and watching two children,a  boy and a girl,playing in the sand.They are working hard at building a sandcastle .Just when they are successful, a big wave comes along and puts it down.
I think the children may cry because all their hard work turns to nothing, but they surprise me. They run up away from the water, hand in hand, and sit down to build another one.
They really teach me a lesson. We can't always be successful.Being sad is doing no good.What we need to do is to start again, hand in hand with our friends.

Which of the following is TRUE according to the passage?","['The wave destroys the sandcastle.', 'The writer is a teacher.', 'The write knows the children .', ""The children are sad because they're not successful""]",The wave destroys the sandcastle.,0,race
There are hundreds of bars and eateries in what east coast metropolis?,"['new york city', 'jail', 'michigan', 'nightclub', 'restaurant']",new york city,0,csqa
What type of aircraft is the Hawker Siddley Harrier?,"['jump jet', 'heli jet', 'vertical takeoff and landing aircraft', 'vertical take off vertical landing']",jump jet,0,trivia
What does MG sand for in Booker T & The MG's?,"['memphis group', 'memphis style', 'memphis design group', 'memphis movement']",memphis group,0,trivia
Where might one be unrestricted on a superhighway?,"['germany', 'semi-truck', 'city', 'america', 'computer network']",germany,0,csqa
Robert Mueller Municipal Airport is in which US state?,"['texas', '28th state', 'everything is bigger in texas', 'texas sized']",texas,0,trivia
"How did your parents celebrate when you were born? Of course you can't remember, but they can. They have photos or videos from a ceremony of some kind.
In the United States, the proud parents of a new baby often put something on their front door. It's an exciting time for them, and they want to share the good news with their neighbors. For example, they put balloons on their door. Pink balloons mean the baby is a girl. Blue ones are for boys.
People around the world often celebrate a new baby's birth with some kinds of ceremonies, perhaps a religious ceremony. This perhaps takes place when a baby is a few days or weeks old. Take what people do in Mexico as an example, many new parents dress their babies in special clothes take them to church.In some African countries, the family plants a tree near the house. In Korea, there is a traditional ceremony on the baby's 100th day. And it's the same in China. On that day, all family members and friends get together to have a big meal, with all the best wishes that the baby will grow up happily and healthily.
The parents of new babies often receive presents. In the United States, friends send cards, flowers or baby clothes. In China, family members and friends give money or presents.
Presents, celebrations---these are great, but what do most new parents really need? More sleep!

If you see   _    balloons on the front door of an American house, a boy is born.","['blue', 'pink', 'green', 'yellow']",blue,0,race
Which of these is the main function of the vomiting reflex?,"['to remove toxic material from the stomach before it is absorbed', 'to rid the body of wastes', 'to expel food that has no nutritional value', 'to empty the stomach when it has too much food in it']",to remove toxic material from the stomach before it is absorbed,0,arc
While performing she fell off the stage causing what?,"['injury', 'action', 'fear', 'pride', 'butterflies']",injury,0,csqa
What type of people get books written about them?,"['important', 'entertaining', 'written on paper', 'engaging', 'rich people']",important,0,csqa
"Four solid balls, each with a different mass, are moving at the same speed. Which ball would require the most force to stop its motion?","['ball with a mass of 20 kg', 'ball with a mass of 5 kg', 'ball with a mass of 10 kg', 'ball with a mass of 15 kg']",ball with a mass of 20 kg,0,arc
Which change resulted from the heating of the planets as they formed?,"['Their structures differentiated into distinct layers.', 'Their masses increased.', 'They lost most of their radioactive isotopes.', 'They started to revolve around the Sun.']",Their structures differentiated into distinct layers.,0,arc
"John goes to the booking office and books a flight to a place that is notoriously foggy, where they like tea, and that is ruled by a Queen.  Where is John going?","['england', 'airport', 'travel agency', 'mall', 'toilet']",england,0,csqa
Which planet has the longest planetary year?,"['Neptune', 'Earth', 'Venus', 'Jupiter']",Neptune,0,arc
An air mass in a valley travels up a mountainside. What causes the movement of this air?,"['warming by solar energy re-radiated from the ground', ""tidal pull of the moon's gravity"", 'evaporation of water from soil in the valley', 'cooling effect of ice crystals in the air over the mountain']",warming by solar energy re-radiated from the ground,0,arc
Which 90s revival hit shares its name with a gangster city?,"['chicago', 'chicago illinois us', 'chicago wisconsin', 'city of broad shoulders']",chicago,0,trivia
"What Is Self-tracking All about
Perhaps you've tracked  how many kilometers you've run, how many hours you've slept or how much you've eaten in a day.
If so, you've taken part in a popular movement called the ""Quantified Self Movement"" or ""Self-tracking"". Maybe you've wanted to change a bad habit but couldn't. Self-tracking may be your answer. The idea is to collect information about your everyday activities and analyze  them to help improve and form a healthier lifestyle.
Recently, tools such as smartphones, apps, along with newly published wearable things, are making self-tracking easy. Today, one can use Fitbit, the Jawbone Up, Google Glass or a smart watch to record personal data  including sleeping hours, stress levels, heart rate and mood.
So why does a person self-track? Someone may be trying to lose weight or improve their sleep. Another person feels tired after eating. Self-tracking could help him to know what foods make him sleepy and watch his diet. [:Z#xx#k.Com]
Tracking daily activities isn't a new concept. In years past, athletes and their coaches kept notes food, training and sleep in order to achieve an athletic goal. Similarly, doctors have also helped patients to record parts of their lifestyles and eating habits to help fight health problems. However, it wasn't until 2007 that magazine writers Gary Wolf and Kim Kelly created the term   ""Quantified Self"" or  ""self-tracking"".
Although self-tracking has many advantages, Dennis Nash, president of Data Speaks Health Solutions, says self-tracking has its disadvantages. Once people start tracking their daily activities, it can become an extra task people like to do often. Also, they might begin to worry too much about their health.
Though self-tracking doesn't make sure that one's quality of life will improve, it can encourage people to make healthier choices.

People choose self-tracking because   _  .","['it collects personal data and leads to self- improvement', 'it watches your eating habits', 'it increases your movement', 'it records how many kilometers you run every day']",it collects personal data and leads to self- improvement,0,race
A fox gave birth to an offspring that had a better sense of hearing than most foxes. How could this small change most likely result in descendants that are different from the original fox?,"['Over time, descendants of this fox may hear and hunt prey better than other foxes.', 'Foxes that have a better sense of hearing may mutate more frequently than other foxes.', 'Foxes that have a better sense of hearing may be hunted more frequently.', 'Over time, descendants of this fox may become extinct.']","Over time, descendants of this fox may hear and hunt prey better than other foxes.",0,arc
"I was the typical""I can't""child-whatever my mother told or asked me to do was immediately followed by my cry,""I can't.""As a result,very few tasks or goals that I set out to achieve were ever completed.
One evening,my mother called me into the family room.""I want you to read this article,""Mother began.""It's about Marlo Thomas.She tells how a simple poem that she was forced to learn by her father changed her life*She went from saying'I can't'to'I can'*According to this article,she was able to reorganize her life and her career by learning the principles in the poem.""
I took the small magazine from Mother and looked down at the pages.There was Marlo-my idol. Beside her photo was the poem my mother had spoken of,a simple poem entitled,""I Can"".""I want you to memorize that poem,""Mother said firmly.""Mama,"" _ .""I can't learn that poem.It's too long.""
""It's not too long and you can learn it.1 want you to know it perfectly by this time tomorrow,""said my mother. Unwillingly,I went back to my bedroom with the magazine.With a heavy heart,I threw myself into the bed and began my task.
""Can't is a word that is the enemy to ambition,""I began.I repeated the line.I repeated it again and again.""An enemy ambush to shatter your will...""I continued the process until I proudly recited the poem the following evening. It has now become my principle.Marlo 1 homas did not know me,but her story forever changed my life.
Saying ""I can"" helped me to get through the worst moments of my life: Saying ""I can"" encouraged me to complete things I would have otherwise seen as out of my reach. A simple poem learned at seven is a poem that will support me to seventy-seven,maybe even longer.

On the following evening,I  _  .","['proudly recited the poem', 'repeated the lines on TV', 'read more stories about Marlo', 'had a long talk with my mother']",proudly recited the poem,0,race
"Dear Tom,
I go on a trip to Beijing with my father Rick. On the first day, we visit   the Palace Museum. It is in the centre of Beijing. There are many rooms in it. You can see ""No photos!"" in some places. If so, you need to follow the instructions  . On the second day, we visit the Summer Palace. It's great fun to boat there. I can swim, so I'm not afraid of water. Tomorrow we will go to the Great Wall.
I also make a new friend Tony who comes from Australia. When he leaves, he gives me his e-mail address and telephone number. After the six-day trip, we can go back to New York by plane. I hope to see you soon.
Bill

This is a letter for   _  .","['Tom', 'Bill', 'Tony', 'Rick']",Tom,0,race
Where in the former Soviet Union was Yul Brynner born?,"['siberia', 'сиби́рь', 'siberia russia', 'сибирь']",siberia,0,trivia
"It had a beach with shallow water, while not the ocean this was a hot spot all the locals enjoyed on the what?","['lake', 'swimming pool', 'pond', 'bathe in', 'childrens pool']",lake,0,csqa
"Animals may fight, make threatening sounds, and act aggressively toward members of the same species. These behaviors usually occur as the result of","['competition', 'conservation', 'decomposition', 'pollution']",competition,0,arc
In which film did Jodie Foster play FBI agent Clarice Starling?,"['silence of lambs', 'silence of lams', 'silence of lambs disambiguation', 'silence of lamb']",silence of lambs,0,trivia
"Every year several thousand people die in the car accidents in Great Britain. And between one and two hundred thousand people are hurt.
There are rules to make the roads safe, but people do not always obey   the rules. They are careless. If everybody obeys the rules, the road will be much safer. How can we make the roads safer?
Remember this rule. In Great Britain traffic keeps to the left. Cars, buses and bikes must all keep to the left side of the road. In most other countries traffic keeps to the right.
Before crossing the road, we should stop and look at both ways. Look right and left. Then, if you are sure that the road is clear, it is safe to cross the road. If you see small children or very old people, help them to cross the road. We must teach our children to cross the road safely. We must always give them a good example. Small children must not play in the street.

If you ride a bike in Great Britain, you must ride  _   .","['on the left side of the road', 'on the right side of the road', 'in the middle of the road', 'behind the buses']",on the left side of the road,0,race
"All students need to have good study habits . When you have good study habits, you can learn things quickly. You also remember them easily.
Do you like to study in the living-room? This is not a good place because it is usually too noisy. You need to study in a quiet place, like your bedroom. A quiet place will help you only think about one thing, and you will learn better.
Before you begin to study, do not forget to clean your desk. A good desk light is important, too. You are feeling tired easily if there is not enough  light.

When you have good study habits, you will   _  .","['all of above.', 'learn things quickly', 'remember things easily', 'study better']",all of above.,0,race
"Balzac  was a great French writer. But he was very poor before he became famous. He lived in a dirty, wet room and was often worried about food. All his friends were very poor and they could not help him.
One night it was very cold. The wind blew and it was snowing heavily. Balzac went to bed early but couldn't fall asleep. He didn't get any food before he went to bed. He thought and thought, but he couldn't have a good idea. At midnight he saw a man climb in through the broken window. The man began to steal something on his bookshelf. Balzac got up quietly and said, ""Don't waste time, my friend! I couldn't find any money in the daytime. How can you find some in the dark?""

Could the thief find any money?   _","[""No, he couldn't."", 'Yes, he could.', 'Maybe.', ""I don't know.""]","No, he couldn't.",0,race
Which factors can have the greatest effect on the health of a river system?,"['nitrate levels and turbidity', 'type of soil and salinity', 'human consumption and pH', 'natural disasters and tidal changes']",nitrate levels and turbidity,0,arc
Street maps are examples of two dimensional models. Which information cannot be determined using a basic map?,"['elevations such as distance above sea level', 'distance from place to place', 'directions such as north and south', 'names of highways and roads']",elevations such as distance above sea level,0,arc
To whom did the Bee Gees pay tribute in Tapestry Revisited?,"['carole king', 'city group', 'now that everything s been said city album', 'carole klein']",carole king,0,trivia
"Most Americans enjoy moving from place to place. For example, they often drive their cars 120 to 160 kilometres away just to have dinner with a friend or even fly to London or Paris just to watch a football match. In some states only one person in five lives in a place for more than five years. One may be born in one city, and go to school in another. He may finish his middle school in two or three cities, and then go to college far across the country. When he begins to work, he may possibly move from job to job. Moving from one job to another, which is called ""job-hopping"", can be seen in many places in the United States.
Job-hopping does good to workers because every change of a job gives them a chance to get better pay. And job-hopping also gives bosses the chance to get new ideas and skills from him or her.

Job-hopping means ""  _  "".","['changing jobs often', 'looking for a job', 'having a job', 'losing a job']",changing jobs often,0,race
