question,options,answer,answer_idx,source,correctness,run_0_response_json,run_0_response_idx,run_0_response,run_0_options,run_1_response_json,run_1_response_idx,run_1_response,run_1_options,run_2_response_json,run_2_response_idx,run_2_response,run_2_options,run_3_response_json,run_3_response_idx,run_3_response,run_3_options,response_set,consistency,is_certain
Henri Becquerel shared a Nobel prize for his work in discovering what?,"['subnuclear transformation', 'radiation nuclear', 'radioelement', 'radioactivity']",radioactivity,0,trivia,1.0,"{'proba': [0.85, 0.05, 0.05, 0.05], 'response_idx': 0}",0,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioelement', 'radioactivity']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioelement', 'radioactivity']","{'proba': [0.8, 0.1, 0.05, 0.05], 'response_idx': 0}",0,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioelement', 'radioactivity']","{'proba': [0.1, 0.2, 0.1, 0.6], 'response_idx': 3}",3,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioelement', 'radioactivity']",{'radioactivity'},1.0,True
The cowboy was having fun atop the bull even though it was a what?,"['playing marbles', 'manual', 'hug', 'wild ride']",wild ride,0,csqa,1.0,"{'proba': [0.85, 0.05, 0.05, 0.05], 'response_idx': 0}",0,wild ride,"['playing marbles', 'manual', 'hug', 'wild ride']","{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,wild ride,"['playing marbles', 'manual', 'hug', 'wild ride']","{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,wild ride,"['playing marbles', 'manual', 'hug', 'wild ride']","{'proba': [0.05, 0.1, 0.1, 0.75], 'response_idx': 3}",3,wild ride,"['playing marbles', 'manual', 'hug', 'wild ride']",{'wild ride'},1.0,True
Why would a person take drugs?,"['compliments', 'not feel pain', 'make money', 'successful in life']",not feel pain,0,csqa,1.0,"{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,not feel pain,"['compliments', 'not feel pain', 'make money', 'successful in life']","{'proba': [0.05, 0.1, 0.8, 0.05], 'response_idx': 2}",2,not feel pain,"['compliments', 'not feel pain', 'make money', 'successful in life']","{'proba': [0.7, 0.05, 0.1, 0.15], 'response_idx': 0}",0,not feel pain,"['compliments', 'not feel pain', 'make money', 'successful in life']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,not feel pain,"['compliments', 'not feel pain', 'make money', 'successful in life']",{'not feel pain'},1.0,True
"The boy's mind was not right.  He couldn't care for himself, so he had to be what?","['form images', 'tended', 'michigan', 'mindblown']",tended,0,csqa,1.0,"{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,tended,"['form images', 'tended', 'michigan', 'mindblown']","{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,tended,"['form images', 'tended', 'michigan', 'mindblown']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,tended,"['form images', 'tended', 'michigan', 'mindblown']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,tended,"['form images', 'tended', 'michigan', 'mindblown']",{'tended'},1.0,True
Where would you expect to find many homes and businesses?,"['zoo', 'big city', 'office building', 'nonprofit']",big city,0,csqa,1.0,"{'proba': [0.8, 0.1, 0.0, 0.1], 'response_idx': 0}",0,big city,"['zoo', 'big city', 'office building', 'nonprofit']","{'proba': [0.05, 0.2, 0.1, 0.65], 'response_idx': 3}",3,big city,"['zoo', 'big city', 'office building', 'nonprofit']","{'proba': [0.8, 0.1, 0.0, 0.1], 'response_idx': 0}",0,big city,"['zoo', 'big city', 'office building', 'nonprofit']","{'proba': [0.05, 0.85, 0.05, 0.05], 'response_idx': 1}",1,big city,"['zoo', 'big city', 'office building', 'nonprofit']",{'big city'},1.0,True
"""Which entertainer said, """"He was into animal husbandry--until they caught him at it?""","['we will all go together when we go', 'tom lehrer', 'hen3ry', 'irish ballad']",tom lehrer,0,trivia,1.0,"{'proba': [0.1, 0.1, 0.8, 0.0], 'response_idx': 2}",2,tom lehrer,"['we will all go together when we go', 'tom lehrer', 'hen3ry', 'irish ballad']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,tom lehrer,"['we will all go together when we go', 'tom lehrer', 'hen3ry', 'irish ballad']","{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,tom lehrer,"['we will all go together when we go', 'tom lehrer', 'hen3ry', 'irish ballad']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,tom lehrer,"['we will all go together when we go', 'tom lehrer', 'hen3ry', 'irish ballad']",{'tom lehrer'},1.0,True
Climbing a hill when hiking can really give one an appreciation of what?,"['virginia', 'price', 'countryside', 'great outdoors']",great outdoors,0,csqa,1.0,"{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,great outdoors,"['virginia', 'price', 'countryside', 'great outdoors']","{'proba': [0.7, 0.1, 0.2, 0.0], 'response_idx': 0}",0,great outdoors,"['virginia', 'price', 'countryside', 'great outdoors']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,great outdoors,"['virginia', 'price', 'countryside', 'great outdoors']","{'proba': [0.1, 0.1, 0.2, 0.6], 'response_idx': 3}",3,great outdoors,"['virginia', 'price', 'countryside', 'great outdoors']",{'great outdoors'},1.0,True
A student is looking at insects using a magnifying lens. What about the insects can best be seen with the magnifying lens?,"['how insects protect themselves', 'type of eyes insects have', 'size of the insects', 'different colors of insect bodies']",type of eyes insects have,0,arc,0.25,"{'proba': [0.1, 0.4, 0.2, 0.3], 'response_idx': 1}",1,different colors of insect bodies,"['how insects protect themselves', 'type of eyes insects have', 'size of the insects', 'different colors of insect bodies']","{'proba': [0.1, 0.25, 0.3, 0.35], 'response_idx': 3}",3,type of eyes insects have,"['how insects protect themselves', 'type of eyes insects have', 'size of the insects', 'different colors of insect bodies']","{'proba': [0.1, 0.3, 0.2, 0.4], 'response_idx': 3}",3,size of the insects,"['how insects protect themselves', 'type of eyes insects have', 'size of the insects', 'different colors of insect bodies']","{'proba': [0.1, 0.2, 0.3, 0.4], 'response_idx': 3}",3,different colors of insect bodies,"['how insects protect themselves', 'type of eyes insects have', 'size of the insects', 'different colors of insect bodies']","{'type of eyes insects have', 'different colors of insect bodies', 'size of the insects'}",0.5,False
"Dear Alice
You really have two different questions here, so we'll discuss them one at a time. Your problems at school may be a result of a number of things. You don't say much about how these classmates get along with each other. It's possible that all the students are feeling a little cautious  in the first term. It's also possible that the others are unkind. If this is not so, you have to find out why you are the class ""outsider"".In your letter you say you often offer to help others with their work. Is it possible that your classmates don't understand your offers? Could it seem that you were trying to ""buy"" friends with these offers, Is it possible that you took no notice of your classmates when you had your good friend near you? They may have felt hurt at that time. It may take a time for them to believe in you if so. Try to ask one classmate directly what the problem is. If you hear a negative  answer, at least you'll know what to do
Yours truly
Shelia

From the letter we can conclude  that  _  .","[""Alice didn't get along well with her classmates"", ""Alice wasn't pleased with her teachers"", ""Alice didn't want to go to school any more"", ""Alice's parents made her study too hard""]",Alice didn't get along well with her classmates,0,race,1.0,"{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice wasn't pleased with her teachers"", ""Alice didn't want to go to school any more"", ""Alice's parents made her study too hard""]","{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice wasn't pleased with her teachers"", ""Alice didn't want to go to school any more"", ""Alice's parents made her study too hard""]","{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice wasn't pleased with her teachers"", ""Alice didn't want to go to school any more"", ""Alice's parents made her study too hard""]","{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice wasn't pleased with her teachers"", ""Alice didn't want to go to school any more"", ""Alice's parents made her study too hard""]","{""Alice didn't get along well with her classmates""}",1.0,True
"After a while playing, what was happening to the children?","['learning', 'having fun', 'competitiveness', 'getting tired']",getting tired,0,csqa,0.5,"{'proba': [0.2, 0.5, 0.2, 0.1], 'response_idx': 1}",1,getting tired,"['learning', 'having fun', 'competitiveness', 'getting tired']","{'proba': [0.4, 0.3, 0.2, 0.1], 'response_idx': 0}",0,getting tired,"['learning', 'having fun', 'competitiveness', 'getting tired']","{'proba': [0.4, 0.2, 0.3, 0.1], 'response_idx': 2}",2,having fun,"['learning', 'having fun', 'competitiveness', 'getting tired']","{'proba': [0.1, 0.4, 0.2, 0.3], 'response_idx': 1}",1,having fun,"['learning', 'having fun', 'competitiveness', 'getting tired']","{'getting tired', 'having fun'}",0.75,False
Who was the first president of the National Football League?,"['jim thorpe', 'james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe']",jim thorpe,0,trivia,0.75,"{'proba': [0.1, 0.1, 0.4, 0.4], 'response_idx': 2}",2,jim thorpe,"['jim thorpe', 'james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe']","{'proba': [0.1, 0.4, 0.4, 0.1], 'response_idx': 1}",1,james francis thorpe,"['jim thorpe', 'james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,jim thorpe,"['jim thorpe', 'james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe']","{'proba': [0.4, 0.4, 0.1, 0.1], 'response_idx': 0}",0,jim thorpe,"['jim thorpe', 'james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe']","{'james francis thorpe', 'jim thorpe'}",0.75,False
