question,options,answer,answer_idx,source,correctness,run_0_response_json,run_0_response_idx,run_0_response,run_0_options,run_1_response_json,run_1_response_idx,run_1_response,run_1_options,run_2_response_json,run_2_response_idx,run_2_response,run_2_options,run_3_response_json,run_3_response_idx,run_3_response,run_3_options,response_set,consistency,is_certain
Henri Becquerel shared a Nobel prize for his work in discovering what?,"['subnuclear transformation', 'radiation nuclear', 'radioactivity', 'radioelement']",radioactivity,0,trivia,1.0,"{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '2'}",2,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioactivity', 'radioelement']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '3'}",3,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioactivity', 'radioelement']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioactivity', 'radioelement']","{'proba': ['0.2', '0.2', '0.5', '0.1'], 'response_idx': '2'}",2,radioactivity,"['subnuclear transformation', 'radiation nuclear', 'radioactivity', 'radioelement']",{'radioactivity'},1.0,True
The cowboy was having fun atop the bull even though it was a what?,"['playing marbles', 'wild ride', 'manual', 'hug']",wild ride,0,csqa,1.0,"{'response_idx': 0, 'proba': ['0.6', '0.1', '0.2', '0.1']}",0,wild ride,"['playing marbles', 'wild ride', 'manual', 'hug']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,wild ride,"['playing marbles', 'wild ride', 'manual', 'hug']","{'proba': ['0.1', '0.1', '0.1', '0.7'], 'response_idx': '3'}",3,wild ride,"['playing marbles', 'wild ride', 'manual', 'hug']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,wild ride,"['playing marbles', 'wild ride', 'manual', 'hug']",{'wild ride'},1.0,True
Why would a person take drugs?,"['not feel pain', 'compliments', 'make money', 'successful in life']",not feel pain,0,csqa,1.0,"{'proba': ['0.1', '0.2', '0.3', '0.4'], 'response_idx': '3'}",3,not feel pain,"['not feel pain', 'compliments', 'make money', 'successful in life']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,not feel pain,"['not feel pain', 'compliments', 'make money', 'successful in life']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,not feel pain,"['not feel pain', 'compliments', 'make money', 'successful in life']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,not feel pain,"['not feel pain', 'compliments', 'make money', 'successful in life']",{'not feel pain'},1.0,True
"The boy's mind was not right.  He couldn't care for himself, so he had to be what?","['tended', 'michigan', 'form images', 'mindblown']",tended,0,csqa,1.0,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,tended,"['tended', 'michigan', 'form images', 'mindblown']","{'proba': ['0.8', '0.1', '0.05', '0.05'], 'response_idx': '0'}",0,tended,"['tended', 'michigan', 'form images', 'mindblown']","{'proba': ['0.7', '0.1', '0.1', '0.1'], 'response_idx': '0'}",0,tended,"['tended', 'michigan', 'form images', 'mindblown']","{'proba': ['0.9', '0.025', '0.025', '0.05'], 'response_idx': '0'}",0,tended,"['tended', 'michigan', 'form images', 'mindblown']",{'tended'},1.0,True
Where would you expect to find many homes and businesses?,"['big city', 'office building', 'zoo', 'nonprofit']",big city,0,csqa,1.0,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,big city,"['big city', 'office building', 'zoo', 'nonprofit']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,big city,"['big city', 'office building', 'zoo', 'nonprofit']","{'proba': ['0.7', '0.1', '0.1', '0.1'], 'response_idx': '0'}",0,big city,"['big city', 'office building', 'zoo', 'nonprofit']","{'proba': ['0.7', '0.1', '0.1', '0.1'], 'response_idx': '0'}",0,big city,"['big city', 'office building', 'zoo', 'nonprofit']",{'big city'},1.0,True
"""Which entertainer said, """"He was into animal husbandry--until they caught him at it?""","['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']",tom lehrer,0,trivia,1.0,"{'proba': ['0.1', '0.3', '0.4', '0.2'], 'response_idx': '1'}",1,tom lehrer,"['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '3'}",3,tom lehrer,"['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']","{'proba': ['0.2', '0.3', '0.1', '0.4'], 'response_idx': '3'}",3,tom lehrer,"['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']","{'proba': ['0.2', '0.2', '0.2', '0.4'], 'response_idx': '3'}",3,tom lehrer,"['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']",{'tom lehrer'},1.0,True
Climbing a hill when hiking can really give one an appreciation of what?,"['price', 'great outdoors', 'virginia', 'countryside']",great outdoors,0,csqa,1.0,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,great outdoors,"['price', 'great outdoors', 'virginia', 'countryside']","{'proba': ['0.4', '0.1', '0.1', '0.4'], 'response_idx': '0'}",0,great outdoors,"['price', 'great outdoors', 'virginia', 'countryside']","{'proba': ['0.2', '0.6', '0.1', '0.1'], 'response_idx': '1'}",1,great outdoors,"['price', 'great outdoors', 'virginia', 'countryside']","{'proba': ['0.2', '0.6', '0.1', '0.1'], 'response_idx': '1'}",1,great outdoors,"['price', 'great outdoors', 'virginia', 'countryside']",{'great outdoors'},1.0,True
A student is looking at insects using a magnifying lens. What about the insects can best be seen with the magnifying lens?,"['different colors of insect bodies', 'type of eyes insects have', 'size of the insects', 'how insects protect themselves']",type of eyes insects have,0,arc,0.0,"{'proba': ['0.2', '0.1', '0.3', '0.4'], 'response_idx': '3'}",3,size of the insects,"['different colors of insect bodies', 'type of eyes insects have', 'size of the insects', 'how insects protect themselves']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,size of the insects,"['different colors of insect bodies', 'type of eyes insects have', 'size of the insects', 'how insects protect themselves']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,size of the insects,"['different colors of insect bodies', 'type of eyes insects have', 'size of the insects', 'how insects protect themselves']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '2'}",2,size of the insects,"['different colors of insect bodies', 'type of eyes insects have', 'size of the insects', 'how insects protect themselves']",{'size of the insects'},1.0,False
"Dear Alice
You really have two different questions here, so we'll discuss them one at a time. Your problems at school may be a result of a number of things. You don't say much about how these classmates get along with each other. It's possible that all the students are feeling a little cautious  in the first term. It's also possible that the others are unkind. If this is not so, you have to find out why you are the class ""outsider"".In your letter you say you often offer to help others with their work. Is it possible that your classmates don't understand your offers? Could it seem that you were trying to ""buy"" friends with these offers, Is it possible that you took no notice of your classmates when you had your good friend near you? They may have felt hurt at that time. It may take a time for them to believe in you if so. Try to ask one classmate directly what the problem is. If you hear a negative  answer, at least you'll know what to do
Yours truly
Shelia

From the letter we can conclude  that  _  .","[""Alice didn't get along well with her classmates"", ""Alice's parents made her study too hard"", ""Alice didn't want to go to school any more"", ""Alice wasn't pleased with her teachers""]",Alice didn't get along well with her classmates,0,race,1.0,"{'proba': ['0.9', '0.05', '0.03', '0.02'], 'response_idx': '0'}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice's parents made her study too hard"", ""Alice didn't want to go to school any more"", ""Alice wasn't pleased with her teachers""]","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice's parents made her study too hard"", ""Alice didn't want to go to school any more"", ""Alice wasn't pleased with her teachers""]","{'proba': ['0.8', '0.05', '0.05', '0.1'], 'response_idx': '0'}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice's parents made her study too hard"", ""Alice didn't want to go to school any more"", ""Alice wasn't pleased with her teachers""]","{'proba': ['0.8', '0.1', '0.05', '0.05'], 'response_idx': '0'}",0,Alice didn't get along well with her classmates,"[""Alice didn't get along well with her classmates"", ""Alice's parents made her study too hard"", ""Alice didn't want to go to school any more"", ""Alice wasn't pleased with her teachers""]","{""Alice didn't get along well with her classmates""}",1.0,True
"After a while playing, what was happening to the children?","['learning', 'having fun', 'getting tired', 'competitiveness']",getting tired,0,csqa,0.5,"{'proba': ['0.3', '0.2', '0.1', '0.4'], 'response_idx': '3'}",3,having fun,"['learning', 'having fun', 'getting tired', 'competitiveness']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '2'}",2,getting tired,"['learning', 'having fun', 'getting tired', 'competitiveness']","{'proba': ['0.3', '0.2', '0.1', '0.4'], 'response_idx': '3'}",3,having fun,"['learning', 'having fun', 'getting tired', 'competitiveness']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '2'}",2,getting tired,"['learning', 'having fun', 'getting tired', 'competitiveness']","{'getting tired', 'having fun'}",0.75,False
