question,options,answer,answer_idx,source
Henri Becquerel shared a Nobel prize for his work in discovering what?,"['radiation nuclear', 'subnuclear transformation', 'radioelement', 'radioactivity']",radioactivity,3,trivia
The cowboy was having fun atop the bull even though it was a what?,"['manual', 'hug', 'playing marbles', 'wild ride']",wild ride,3,csqa
Why would a person take drugs?,"['compliments', 'make money', 'successful in life', 'not feel pain']",not feel pain,3,csqa
"The boy's mind was not right.  He couldn't care for himself, so he had to be what?","['mindblown', 'form images', 'michigan', 'tended']",tended,3,csqa
Where would you expect to find many homes and businesses?,"['nonprofit', 'zoo', 'office building', 'big city']",big city,3,csqa
"""Which entertainer said, """"He was into animal husbandry--until they caught him at it?""","['irish ballad', 'hen3ry', 'we will all go together when we go', 'tom lehrer']",tom lehrer,3,trivia
Climbing a hill when hiking can really give one an appreciation of what?,"['price', 'virginia', 'countryside', 'great outdoors']",great outdoors,3,csqa
A student is looking at insects using a magnifying lens. What about the insects can best be seen with the magnifying lens?,"['different colors of insect bodies', 'how insects protect themselves', 'type of eyes insects have', 'size of the insects']",type of eyes insects have,2,arc
"Dear Alice
You really have two different questions here, so we'll discuss them one at a time. Your problems at school may be a result of a number of things. You don't say much about how these classmates get along with each other. It's possible that all the students are feeling a little cautious  in the first term. It's also possible that the others are unkind. If this is not so, you have to find out why you are the class ""outsider"".In your letter you say you often offer to help others with their work. Is it possible that your classmates don't understand your offers? Could it seem that you were trying to ""buy"" friends with these offers, Is it possible that you took no notice of your classmates when you had your good friend near you? They may have felt hurt at that time. It may take a time for them to believe in you if so. Try to ask one classmate directly what the problem is. If you hear a negative  answer, at least you'll know what to do
Yours truly
Shelia

From the letter we can conclude  that  _  .","[""Alice wasn't pleased with her teachers"", ""Alice's parents made her study too hard"", ""Alice didn't get along well with her classmates"", ""Alice didn't want to go to school any more""]",Alice didn't get along well with her classmates,2,race
"After a while playing, what was happening to the children?","['competitiveness', 'learning', 'having fun', 'getting tired']",getting tired,3,csqa
Who was the first president of the National Football League?,"['james francis thorpe', 'wa tho huk', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']",jim thorpe,3,trivia
"This is a teacher's family. The father's name is Lake Smith. He's forty - four. The mother's name is Kate Green. She's forty - two. The Smiths have a son, Jim, and a daughter, Ann. Jim is fourteen, and Ann is twelve. The son looks like his father, and the daughter looks like her mother. They are all in No.4 Middle School. But the Smiths are teachers; the son and daughter are students.

How many people are there in the family?     ----  _   .","['There are three', 'There are four', 'There are five', 'There are six']",There are four,1,race
"Below is an advertisement found in a local newspaper. As shiny as diamonds at a fraction of the price! Buy ""Simu-Gems"" at Cost-Rite Jewelers. This advertisement suggests that Cost-Rite Jewelers' supplier","['found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'reduced the price of diamonds in order to sell more.', 'started providing small diamonds instead of large ones.']",manufactured artificial stones that resemble diamonds.,1,arc
