question,options,answer,answer_idx,source
"According to legend, who fired the arrow that hit Achilles in the heel, his only vulnerable spot?","['paris', 'parisien', 'paris île de france', 'sports in paris']",paris,0,trivia
Where were the 2004 Summer Olympic Games held?,"['athens', 'municipality of athens', 'athens modern diocese of', 'city of athens']",athens,0,trivia
What was John Glenn/'s first spacecraft called?,"['friendship 7', 'friendship seven', 'mercury atlas ma 6', 'friendship vii']",friendship 7,0,trivia
Who wrote the words for My Fair Lady and Camelot?,"['alan jay lerner', 'lerner alan jay', 'alan j lerner', 'alan lerner']",alan jay lerner,0,trivia
"For several years, Americans have enjoyed teleshopping -- watching TV and buying things by phone. Now teleshopping is starting in Europe. In a number of European countries, people can turn on their TVs and shop for clothes, jewelry, food, toys and many other things.
Teleshopping is becoming popular in Sweden, for example. The biggest Swedish company sells different kinds of things on TV in 15 European countries, and in one year it made$100 million. In France there are two teleshopping channels, and the French spend about$20 million a year to buy things through those channels.
In Germany, until last year teleshopping was only possible on one channel for 1 hour every day. Then the government allowed more teleshopping. Other channels can open for telebusiness, including the largest American teleshopping company and a 24-hour teleshopping company. German businesses are hoping this new teleshopping will help them sell more things.
Some people like teleshopping because it allows them to do their shopping without leaving their homes. With all the problems of traffic in the cities, this is an important reason. But at the same time, other Europeans do not like this new way of shopping. They call teleshopping ""junk on the air"". Many Europeans usually worry about the quality of the things for sale on TV. Good quality is important to them, and they believe they cannot be sure about the quality of the things on TV.
The need for high quality means that European teleshopping companies will have to be different from the American companies. They will have to be more careful about the quality of the things they sell. They will also have to work harder to sell things that the buyers cannot touch or see in person.

Teleshopping is  _   in Europe.","['growing', 'not popular', 'not possible', 'cheap']",growing,0,race
Which of these objects has the greatest mass?,"['brick', 'soccer ball', 'note pad', 'quarter']",brick,0,arc
The liver converts glucose to glycogen for storage. Why is this function considered a chemical change?,"['because the conversion changes one substance to a new one', 'because the conversion transforms solids to liquids', 'because the conversion allows for less glucose in the liver', 'because the conversion changes the shape of the liver cells']",because the conversion changes one substance to a new one,0,arc
"Prana was a beautiful dog, whose name means ""breath of life"". Although he died several years ago, I can still remember the days we spent together and what he has taught me about love.
I have two apple trees in the garden. Prana loved apples. When he went outside, he'd catch an apple and take it into the house to eat later. The apples had been on the ground and were often dirty so I wasn't always happy that Prana had brought them into the house.
It was an autumn day in America, but it was very cold. A big snow fell and we had not done anything for its coming. On that special day, Prana went outside and I watched him through the window. I noticed that he was madly digging  holes and bringing the apples to the ground so they could be seen above the snow. I did not know why he was doing this. He seemed to want to do something special.
When I called him back, he had his usual one apple in his mouth. About five minutes later, I looked outside. The garden was completely covered with birds. Prana had dug up all those apples for his bird friends to eat. He knew that they wouldn't have stored enough food for the coming winter!

I wasn't always happy because    _   .","['Prana brought the dirty apples into the house', 'Prana loved apples', 'Prana caught an apple and ate it', 'the apples fell on the ground and were dirty']",Prana brought the dirty apples into the house,0,race
Where would you put some coffee if you are thirsty?,"['cup', 'container', 'internet cafe', 'starbucks', 'supermarket']",cup,0,csqa
Beavers are native to the northwest of north american such as what canadian region?,"['british columbia', 'woodlands', 'wooded area', 'niagara falls', 'body of water']",british columbia,0,csqa
